time [ms];Setpoint position [mm];Actual position value encoder channel 1 [mm];Setpoint value velocity controller [m/s];Actual velocity value encoder channel 1 [m/s];Setpoint value active current [Arms];Actual active current value [Arms];Position control error [mm]
204.000011086464;48.2297500;48.2310266;-0.06114223;-0.06084777;-0.2065898;-0.1824869;-0.0012766
205.062508583069;48.1611250;48.1615872;-0.0610515;-0.06145224;-0.165067;-0.1662967;-0.0004622
206.125006079674;48.1001250;48.0997772;-0.06096125;-0.06169311;-0.1414232;-0.1877658;0.0003478
207.18751847744;48.0314766;48.0302782;-0.06086648;-0.0617875;-0.1093822;-0.1544463;0.0011984
208.250015974045;47.9706328;47.9688258;-0.06075699;-0.06155827;-0.2021479;-0.1773561;0.0018070
209.31251347065;47.9011748;47.8995056;-0.06180457;-0.06162847;-0.1214529;-0.1620882;0.0016692
210.375010967255;47.8398431;47.8376956;-0.06069009;-0.06170125;-0.09401392;-0.08466735;0.0021475
211.43750846386;47.7712500;47.7692694;-0.06077932;-0.06108299;-0.1424348;-0.1486617;0.0019806
212.500005960464;47.7102500;47.7089495;-0.0608551;-0.0605831;-0.1761643;-0.185513;0.0013005
213.562518358231;47.6416154;47.6412387;-0.06088869;-0.06033392;-0.1874176;-0.2351304;0.0003767
214.625015854836;47.5806880;47.5805015;-0.06140337;-0.06063396;-0.3036362;-0.3187694;0.0001865
215.68751335144;47.5110000;47.5107045;-0.06121707;-0.06159339;-0.08798052;-0.1003234;0.0002955
216.750010848045;47.4500000;47.4491925;-0.06099336;-0.06146171;-0.1356162;-0.1579014;0.0008075
217.81250834465;47.3814243;47.3820777;-0.06070593;-0.06020379;-0.2372499;-0.1982843;-0.0006534
218.875005841255;47.3202348;47.3228306;-0.06243993;-0.05967181;-0.3688526;-0.4204736;-0.0025958
219.937518239021;47.2506953;47.2537489;-0.0614548;-0.06090875;-0.1774123;-0.1602056;-0.0030536
221.000015735626;47.1898403;47.1908064;-0.06082379;-0.06217493;-0.1686988;-0.1443742;-0.0009661
222.062513232231;47.1206725;47.1193404;-0.06202215;-0.06310233;-0.08139281;-0.1577587;0.0013321
223.125010728836;47.0592025;47.0560999;-0.06048374;-0.06312815;-0.05116127;-0.01587071;0.0031026
224.187508225441;46.9899297;46.9868393;-0.061739;-0.06204121;-0.09563679;-0.1493535;0.0030904
225.250005722046;46.9284375;46.9263406;-0.06072469;-0.06108849;-0.09841219;-0.1137562;0.0020969
226.312518119812;46.8600039;46.8592257;-0.06101909;-0.06016846;-0.2923842;-0.2632695;0.0007782
227.375015616417;46.7981530;46.7987866;-0.06203543;-0.06040817;-0.1912393;-0.2437616;-0.0006336
228.437513113022;46.7293340;46.7297048;-0.06121839;-0.06104009;-0.2673611;-0.2324908;-0.0003708
229.500010609627;46.6674160;46.6685505;-0.06194932;-0.0611379;-0.1427583;-0.1975509;-0.0011345
230.562508106232;46.5986771;46.5998263;-0.06146267;-0.06112045;-0.2918491;-0.2482883;-0.0011492
231.625005602837;46.5366979;46.5377779;-0.06178569;-0.06175994;-0.09644684;-0.1263585;-0.0010800
232.687518000603;46.4680000;46.4678616;-0.06165124;-0.06199613;-0.2289706;-0.1603537;0.0001384
233.750015497208;46.4060000;46.4059920;-0.06241667;-0.06190474;-0.1922244;-0.2017111;0.0000080
234.812512993813;46.3363902;46.3369102;-0.06090721;-0.06151963;-0.1206639;-0.1349479;-0.0005200
235.875010490417;46.2752842;46.2768287;-0.06195594;-0.06059054;-0.3236282;-0.3576972;-0.0015445
236.937507987022;46.2054097;46.2081642;-0.06259075;-0.0609847;-0.236162;-0.2654518;-0.0027545
238.000005483627;46.1437856;46.1454601;-0.0610173;-0.06207333;-0.1381188;-0.1527893;-0.0016745
