time [ms];Setpoint position [mm];Actual position value encoder channel 1 [mm];Setpoint value velocity controller [m/s];Actual velocity value encoder channel 1 [m/s];Target position CiA402 [mm]
219.00001168251;50.3331196;50.2788634;0.04050082;0.005352322;50.4780000
220.000013709068;50.4540132;50.3303617;0.1280608;0.0379264;50.4780000
221.000015735626;50.4808784;50.4036158;-0.002649407;0.05674565;50.6080000
222.000017762184;50.4802217;50.4226297;-1.553213E-05;0.031966;50.6080000
223.000004887581;50.4642256;50.4108281;0.04014213;0.005176219;50.6080000
224.000006914139;50.5841963;50.4619092;0.1270364;0.03760039;50.6080000
225.000008940697;50.6108564;50.5349248;-0.002711763;0.05650839;50.7380000
226.000010967255;50.6102217;50.5531639;-7.505156E-05;0.03141404;50.7380000
227.000012993813;50.5942256;50.5407662;0.04014902;0.004592882;50.7380000
228.00001502037;50.7141963;50.5900591;0.1272425;0.0362386;50.7380000
229.000017046928;50.7408564;50.6617039;-0.002352898;0.05522764;50.8660000
230.000004172325;50.7401875;50.6795257;0.0004254547;0.03065396;50.8660000
231.000006198883;50.7244375;50.6675453;0.04000545;0.004524255;50.8660000
232.000008225441;50.8425625;50.7177323;0.1255749;0.03674893;50.8660000
233.000010251999;50.8688125;50.7894963;-0.002162783;0.05547879;50.9940000
234.000012278557;50.8681875;50.8079737;0.00037554;0.0311929;50.9940000
235.000014305115;50.8524375;50.7967085;0.03987585;0.00520199;50.9940000
236.000016331673;50.9705625;50.8464187;0.1254985;0.03666613;50.9940000
237.000018358231;50.9968125;50.9180635;-0.00222598;0.05538425;51.1200000
238.000005483627;50.9961533;50.9370178;0.0003543571;0.03145788;51.1200000
239.000007510185;50.9806494;50.9267063;0.03915083;0.005864819;51.1200000
240.000009536743;51.0969287;50.9764760;0.1233424;0.03696347;51.1200000
241.000011563301;51.1227686;51.0477036;-0.002464567;0.05529781;51.2460000
242.000013589859;51.1221533;51.0667771;-6.449502E-05;0.03148517;51.2460000
243.000015616417;51.1066494;51.0559291;0.03879175;0.005517534;51.2460000
244.000017642975;51.2229287;51.1049241;0.1230696;0.03633597;51.2460000
245.000004768372;51.2487686;51.1753767;-0.00265098;0.0546056;51.3710000
246.00000679493;51.2481362;51.1930793;-5.05913E-05;0.03036198;51.3710000
247.000008821487;51.2327554;51.1811585;0.0386264;0.004469892;51.3710000
248.000010848045;51.3481118;51.2286037;0.1223648;0.03493252;51.3710000
249.000012874603;51.3737466;51.2979835;-0.002300846;0.05344303;51.4960000
250;51.3731362;51.3156265;0.0002226937;0.02991214;51.4960000
251.000016927719;51.3577554;51.3040037;0.03886648;0.004468436;51.4960000
252.000004053116;51.4731118;51.3530582;0.1224255;0.03598829;51.4960000
253.000020980835;51.4987466;51.4233917;-0.002346327;0.05430459;51.6190000
254.000008106232;51.4981021;51.4404982;0.0003321478;0.0298354;51.6190000
255.000025033951;51.4829673;51.4279217;0.03848461;0.003877339;51.6190000
256.000012159348;51.5964780;51.4756053;0.120772;0.03493088;51.6190000
256.999999284744;51.6217026;51.5455216;-0.002082416;0.05368941;51.7410000
258.000016212463;51.6210850;51.5627473;0.0004633847;0.02975075;51.7410000
259.00000333786;51.6060732;51.5505285;0.03827719;0.004054288;51.7410000
260.000020265579;51.7186611;51.5980333;0.1198723;0.03488699;51.7410000
261.000007390976;51.7436807;51.6674131;-0.001986827;0.05341158;51.8630000
262.000024318695;51.7430850;51.6846984;0.0004688334;0.02968954;51.8630000
263.000011444092;51.7280732;51.6727776;0.03824944;0.004197906;51.8630000
263.999998569489;51.8406611;51.7207592;0.1197915;0.0352037;51.8630000
265.000015497208;51.8656807;51.7905563;-0.002114199;0.05374324;51.9830000
266.000002622604;51.8650508;51.8086165;0.0003502709;0.03021772;51.9830000
267.000019550323;51.8502852;51.7968149;0.03752003;0.004423804;51.9830000
268.00000667572;51.9610273;51.8432468;0.1178103;0.03423858;51.9830000
269.000023603439;51.9856367;51.9107789;-0.001972028;0.0521146;52.1030000
270.000010728836;51.9850508;51.9277662;0.0004450092;0.02901765;52.1030000
271.000027656555;51.9702852;51.9165010;0.037555;0.004356186;52.1030000
272.000014781952;52.0810273;51.9635886;0.1177722;0.03462885;52.1030000
273.000001907349;52.1056367;52.0325511;-0.002169481;0.05313008;52.2220000
274.000018835068;52.1050337;52.0507902;0.0001556566;0.03010914;52.2220000
275.000005960464;52.0903911;52.0397634;0.03694029;0.004859948;52.2220000
276.000022888184;52.2002104;52.0859569;0.1165449;0.03420737;52.2220000
277.00001001358;52.2246147;52.1540254;-0.002361679;0.05245936;52.3400000
278.000026941299;52.2240166;52.1727413;-0.0001255735;0.03017539;52.3400000
279.000014066696;52.2094971;52.1627874;0.03624074;0.005530199;52.3400000
280.000001192093;52.3183936;52.2098154;0.1150402;0.03496215;52.3400000
281.000018119812;52.3425928;52.2781223;-0.002957481;0.05285153;52.4570000
282.000005245209;52.3419995;52.2957653;-0.0006377613;0.02966765;52.4570000
283.000022172928;52.3276030;52.2843213;0.03559577;0.004435227;52.4570000
284.000009298325;52.4355767;52.3302167;0.1138093;0.03389321;52.4570000
285.000026226044;52.4595708;52.3973316;-0.003120145;0.05162647;52.5730000
286.00001335144;52.4589824;52.4134844;-0.0006703082;0.02826568;52.5730000
287.000000476837;52.4447090;52.4003119;0.03545703;0.002828344;52.5730000
288.000017404556;52.5517598;52.4450749;0.1130845;0.03260323;52.5730000
289.000004529953;52.5755488;52.5121301;-0.002902794;0.05117821;52.6880000
290.000021457672;52.5749653;52.5293559;-0.0006084163;0.02878755;52.6880000
291.000008583069;52.5608149;52.5180907;0.03500762;0.004199201;52.6880000
292.000025510788;52.6669429;52.5640458;0.1117901;0.03385289;52.6880000
293.000012636185;52.6905268;52.6318162;-0.003341425;0.05209099;52.8020000
293.999999761581;52.6899482;52.6485055;-0.001023181;0.02877084;52.8020000
295.000016689301;52.6759209;52.6360483;0.03442688;0.003409704;52.8020000
296.000003814697;52.7811260;52.6803940;0.1106764;0.03256586;52.8020000
297.000020742416;52.8045049;52.7462572;-0.003307059;0.05051803;52.9160000
298.000007867813;52.8039482;52.7631849;-0.001098878;0.02836799;52.9160000
299.000024795532;52.7899209;52.7521581;0.03419181;0.004149657;52.9160000
300.000011920929;52.8951260;52.7980536;0.1102687;0.03378729;52.9160000
