time [ms];Setpoint position [mm];Actual position value encoder channel 1 [mm];Actual velocity value encoder channel 1 [m/s];Target position CiA402 [mm]
8171.25034332275;80.0000000;79.9999447;-5.018206E-05;80.0000000
8171.99993133545;80.0000000;79.9998851;-6.661229E-05;80.0000000
8172.75047302246;80.0000000;79.9999446;-3.508283E-06;80.0000000
8173.50006103516;80.0000000;80.0000042;4.536083E-05;80.0000000
8174.24964904785;80.0000000;80.0000042;2.237514E-05;80.0000000
8175.00019073486;80.0000000;80.0000638;4.824498E-05;80.0000000
8175.74977874756;80.0000000;80.0001234;6.565679E-05;80.0000000
8176.50032043457;80.0000000;80.0001234;3.238654E-05;80.0000000
8177.24990844727;80.0000000;80.0001234;1.597531E-05;80.0000000
8178.00045013428;80.0000000;80.0000639;-2.926541E-05;80.0000000
8178.75003814697;80.0000000;80.0000043;-5.629474E-05;80.0000000
8179.49962615967;80.0000000;79.9999447;-8.074629E-05;80.0000000
8180.25016784668;80.0000000;79.9999447;-3.982974E-05;80.0000000
8180.99975585938;80.0000000;79.9999446;-8.616924E-06;80.0000000
8181.75029754639;80.0000000;79.9999446;-4.250471E-06;80.0000000
8182.49988555908;80.0000000;80.0000638;6.916126E-05;80.0000000
8183.25042724609;80.0000000;80.0000638;3.411519E-05;80.0000000
8184.00001525879;80.0000000;80.0001234;4.622691E-05;80.0000000
8184.74960327148;80.0000000;80.0001234;2.280236E-05;80.0000000
8185.5001449585;80.0000000;80.0001234;1.124772E-05;80.0000000
8186.24973297119;80.0000000;80.0001234;1.019136E-05;80.0000000
8187.0002746582;80.0000000;80.0000638;-1.818682E-05;80.0000000
8187.7498626709;80.0000000;80.0000043;-4.198929E-05;80.0000000
8188.50040435791;80.0000000;79.9998851;-9.564482E-05;80.0000000
8189.24999237061;80.0000000;79.9998851;-4.717873E-05;80.0000000
8190.00053405762;80.0000000;79.9999446;1.387369E-05;80.0000000
8190.75012207031;80.0000000;80.0000042;4.870246E-05;80.0000000
8191.49971008301;80.0000000;80.0000042;2.402347E-05;80.0000000
